VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Cortinarius mariekristinae;Brandrud & Dima;prinsesseslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/mariekristinae;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;C2a(i)
Cortinarius osloensis;Brandrud, T.S. Jeppesen & Frøslev;osloslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/osloensis;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;"B2a(i)b(ii,iii,iv); C2a(i)"
Crepis multicaulis;Ledeb.;altaihaukeskjegg;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Crepis/multicaulis;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;D1
Crinolamia dahli;Bouchet & Warén, 1979;;Animalia/Mollusca/Gastropoda/Eulimoidea/Eulimidae/Crinolamia/dahli;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Cryptopygus clavatus;(Schött, 1893);;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Cryptopygus/clavatus;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Cuspidaria lamellosa;(M. Sars, 1858);;Animalia/Mollusca/Bivalvia/Anomalodesmata/Cuspidariidae/Cuspidaria/lamellosa;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Cuthona norvegica;(Odhner, 1929);;Animalia/Mollusca/Gastropoda/Nudibranchia/Cuthonidae/Cuthona/norvegica;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Cypha norvegica;Ødegaard & Hanssen, 2018;;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Cypha/norvegica;art;Biller;Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(iii)+2a(i)b(iii)
Cyrtomnium hymenophyllum;(Bruch & Schimp.) Holmen;tuetrollmose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Cyrtomnium/hymenophyllum;art;Moser;Fastlands-Norge med havområder;> 50 %;VU;A3(c)
Cystophora cristata;(Erxleben, 1777);klappmyss;Animalia/Chordata/Mammalia/Carnivora/Phocidae/Cystophora/cristata;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;EN;A2(a,b)
Dasya adela;Heggøy, Rueness & Sjøtun;;Plantae/Rhodophyta/Florideophyceae/Ceramiales/Dasyaceae/Dasya/adela;art;Alger;Fastlands-Norge med havområder;> 50 %;VU;D2
Delphinapterus leucas;(Pallas, 1776);hvithval;Animalia/Chordata/Mammalia/Cetacea/Monodontidae/Delphinapterus/leucas;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;EN;C1
Dendrodoa aggregata;O. F. Müller, 1776;potetsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Dendrodoa/aggregata;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Dentipellis coniferarum;Y.C. Dai & L.W. Zhou;;Fungi/Basidiomycota/Agaricomycetes/Russulales/Hericiaceae/Dentipellis/coniferarum;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;D1
Diacheila polita;(Faldermann, 1835);;Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Diacheila/polita;art;Biller;Fastlands-Norge med havområder;> 50 %;VU;D2
