VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Erignathus barbatus;(Erxleben, 1777);storkobbe;Animalia/Chordata/Mammalia/Carnivora/Phocidae/Erignathus/barbatus;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;NT;A3(c)
Erioderma pedicellatum;(Hue) P.M. Jørg.;trønderlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Pannariaceae/Erioderma/pedicellatum;art;Laver;Fastlands-Norge med havområder;> 50 %;CR;B2a(i)b(i,ii,iii,iv,v)
Eristalis fratercula;(Zetterstedt, 1838);finnmarksdroneflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Eristalis/fratercula;art;Tovinger;Fastlands-Norge med havområder;> 50 %;LC;
Eudistoma vitreum;(M. Sars, 1851);glassekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Clavelinidae/Eudistoma/vitreum;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Eugyra glutinans;(Møller, 1842);klistersekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Molgulidae/Eugyra/glutinans;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Eupeodes biciki;Nielsen, 2003;høgnordisk markblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Eupeodes/biciki;art;Tovinger;Fastlands-Norge med havområder;> 50 %;VU;B1a(ii)b(ii)+2a(ii)b(ii)
Eupeodes curtus;(Hine, 1922);småflekket markblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Eupeodes/curtus;art;Tovinger;Fastlands-Norge med havområder;> 50 %;LC;
Eurybia sibirica;(L.) G.L.Nesom;sibirstjerne;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Eurybia/sibirica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;RE;
Exitomelita lignicola;Tandberg, Rapp, Schander & Vader, 2013;;Animalia/Arthropoda/Malacostraca/Amphipoda/Melitidae/Exitomelita/lignicola;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;NT;B2a(i)
Exitomelita sigynae;Tandberg, Rapp, Schander, Vader, Sweetman & Berge, 2011;;Animalia/Arthropoda/Malacostraca/Amphipoda/Melitidae/Exitomelita/sigynae;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;VU;D2
Fleutiauxellus algidus;(J. Sahlberg, 1883);fjellbekksmeller;Animalia/Arthropoda/Insecta/Coleoptera/Elateridae/Fleutiauxellus/algidus;art;Biller;Fastlands-Norge med havområder;> 50 %;NT;B2a((i))b(iii)
Folsomia bisetosa;Gisin, 1953;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Folsomia/bisetosa;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Folsomia microchaeta;Agrell, 1939;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Folsomia/microchaeta;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;NT;"A4c; D2"
Forcipata palustris;Holgersen, 1992;;Animalia/Arthropoda/Insecta/Hemiptera/Cicadellidae/Forcipata/palustris;art;Nebbmunner;Fastlands-Norge med havområder;> 50 %;EN;B2a(ii)b(iii)
Fredericella indica;Annandale, 1909;nordlig mosdyr;Animalia/Ectoprocta/Phylactolaemata/Plumatellida/Fredericellidae/Fredericella/indica;art;Mosdyr;Fastlands-Norge med havområder;> 50 %;LC;
Frullania bolanderi;Austin;pelsblæremose;Plantae/Marchantiophyta/Jungermanniopsida/Porellales/Frullaniaceae/Frullania/bolanderi;art;Moser;Fastlands-Norge med havområder;> 50 %;VU;C2a(i)
Fuscopannaria ahlneri;(P.M. Jörg.) P.M. Jörg.;granfiltlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Pannariaceae/Fuscopannaria/ahlneri;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;C1
Gadus chalcogrammus;Pallas, 1814;alaskatorsk;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Gadus/chalcogrammus;art;Fisker;Fastlands-Norge med havområder;> 50 %;NT;D1
Gadus morhua;Linnaeus, 1758;torsk;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Gadus/morhua;art;Fisker;Fastlands-Norge med havområder;> 50 %;LC;
Gallinago media;(Latham, 1787);dobbeltbekkasin;Animalia/Chordata/Aves/Charadriiformes/Scolopacidae/Gallinago/media;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;NT;B2b(iii)
Gammarus wilkitzkii;Birula, 1897;;Animalia/Arthropoda/Malacostraca/Amphipoda/Gammaridae/Gammarus/wilkitzkii;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;NT;D2
Gavia adamsii;(G. R. Gray, 1859);gulnebblom;Animalia/Chordata/Aves/Gaviiformes/Gaviidae/Gavia/adamsii;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;VU;D1
Gentianella aurea;(L.) Harry Sm.;bleiksøte;Plantae/Magnoliophyta/Eudicots/Gentianales/Gentianaceae/Gentianella/aurea;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Gentianopsis detonsa;(Rottb.) Ma;fjæresøte;Plantae/Magnoliophyta/Eudicots/Gentianales/Gentianaceae/Gentianopsis/detonsa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Goniaeolis typica;M. Sars, 1861;;Animalia/Mollusca/Gastropoda/Nudibranchia/Goniaeolididae/Goniaeolis/typica;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Gymnomitrion revolutum;(Nees) H.Philib.;vrengehutremose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Gymnomitriaceae/Gymnomitrion/revolutum;art;Moser;Fastlands-Norge med havområder;> 50 %;VU;"B2a(i)b(iii,v); C1+2a(i)"
Haliaeetus albicilla;(Linnaeus, 1758);havørn;Animalia/Chordata/Aves/Accipitriformes/Accipitridae/Haliaeetus/albicilla;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Halisotoma arenicola;Fjellberg, 2009;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Halisotoma/arenicola;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Halocynthia pyriformis;Rathke, 1806;pæresjøpung;Animalia/Chordata/Ascidiacea/Pleurogona/Pyuridae/Halocynthia/pyriformis;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Harmothoe oculinarum;(Storm, 1879);;Animalia/Annelida/Polychaeta/Phyllodocida/Polynoidae/Harmothoe/oculinarum;art;Leddormer;Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(iii)
Hedlundia hybrida;(L.) Sennikov & Kurtto;rognasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/hybrida;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Hedlundia lancifolia;(Hedl.) Sennikov & Kurtto;smalasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/lancifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;CR;"A2(a,c); C1; D1"
Hedlundia meinichii;(Lindeb. ex Hartm.) Sennikov & Kurtto;fagerrogn;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/meinichii;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A4(b,c,e); B2a((i))b(ii,iii,iv,v)"
Hedlundia neglecta;(Hedl.) Sennikov & Kurtto;nordlandsasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/neglecta;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;D1
Hedlundia sognensis;(Hedl. ex Sennikov, Hjertson & Salvesen) Sennikov & Kurtto;sogneasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/sognensis;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;"B1a(ii)b(i,ii,iii,iv,v)+2a(ii)b(i,ii,iii,iv,v); D1"
Hedlundia subarranensis;(Hyl. ex Sennikov, Hjertson & Salvesen) Sennikov & Kurtto;småasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/subarranensis;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(ii,iii,iv,v)
Hedlundia subpinnata;(Hedl.) Sennikov & Kurtto;grenmarasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/subpinnata;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(ii,iii,iv,v)
Hedlundia subsimilis;(Hedl.) Sennikov & Kurtto;sørlandsasal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Hedlundia/subsimilis;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;B2b(ii,iii,iv)
;;;;;;;;;
Heterostigma reptans;Monniot C. & Monniot F., 1963;krypsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Pyuridae/Heterostigma/reptans;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;DD;
Hierochloë alpina;(Sw. ex Willd.) Roem. & Schult.;fjellmarigras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Hierochloë/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e)+4(c); B2b(iii)"
Hippoglossus hippoglossus;(Linnaeus, 1758);kveite;Animalia/Chordata/Actinopterygii/Pleuronectiformes/Pleuronectidae/Hippoglossus/hippoglossus;art;Fisker;Fastlands-Norge med havområder;> 50 %;LC;
Hygrohypnella polaris;(Lindb.) Ignatov & Ignatova;jøkelbekkemose;Plantae/Bryophyta/Bryopsida/Hypnales/Scorpidiaceae/Hygrohypnella/polaris;art;Moser;Fastlands-Norge med havområder;> 50 %;NT;A3(c)
Hyperoodon ampullatus;(Forster, 1770);nebbhval;Animalia/Chordata/Mammalia/Cetacea/Ziphiidae/Hyperoodon/ampullatus;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Hypoxylon vogesiacum;(Curr.) Sacc.;almekullsopp;Fungi/Ascomycota/Sordariomycetes/Xylariales/Hypoxylaceae/Hypoxylon/vogesiacum;art;Sopper;Fastlands-Norge med havområder;> 50 %;NT;A4(c)
Isidella lofotensis;M. Sars, 1867;;Animalia/Cnidaria/Anthozoa/Gorgonacea/Isididae/Isidella/lofotensis;art;Koralldyr;Fastlands-Norge med havområder;> 50 %;NT;"A2(a,c)+3(c)+4(c); B2b(ii,iii)"
Isotomodella pusilla;Martynova, 1967;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Isotomodella/pusilla;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Koenigia islandica;L.;dvergsyre;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Polygonaceae/Koenigia/islandica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B2b(i,ii,iii,iv,v)c(iv)
Lagenorhynchus albirostris;Gray, 1846;kvitnos;Animalia/Chordata/Mammalia/Cetacea/Delphinidae/Lagenorhynchus/albirostris;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Lagopus muta;(Montin, 1781);fjellrype;Animalia/Chordata/Aves/Galliformes/Tetraonidae/Lagopus/muta;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Laminaria hyperborea;(Gunnerus) Foslie;stortare;Chromista/Ochrophyta/Phaeophyceae/Laminariales/Laminariaceae/Laminaria/hyperborea;art;Alger;Fastlands-Norge med havområder;> 50 %;LC;
Larus marinus;Linnaeus, 1758;svartbak;Animalia/Chordata/Aves/Charadriiformes/Laridae/Larus/marinus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Lasius umbratus;(Nylander, 1846);håret jordmaur;Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Lasius/umbratus;art;Vepser;Fastlands-Norge med havområder;> 50 %;LC;
Ledella messanensis;(Jeffreys, 1870);;Animalia/Mollusca/Bivalvia/Nuculanoida/Nuculanidae/Ledella/messanensis;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Lemmus lemmus;(Linnaeus, 1758);lemen;Animalia/Chordata/Mammalia/Rodentia/Cricetidae/Lemmus/lemmus;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Leptochidium crenatulum;(Nyl.) P.M. Jørg.;;Fungi/Ascomycota/Lecanoromycetes/Peltigerales/Massalongiaceae/Leptochidium/crenatulum;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;D1
Leptoclinides faeroensis;Bjerkan, 1905;færøysekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Didemnidae/Leptoclinides/faeroensis;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Lichinodium ahlneri;A. Henssen;trøndertustlav;Fungi/Ascomycota/Lichinomycetes/Lichinales/Lichinaceae/Lichinodium/ahlneri;art;Laver;Fastlands-Norge med havområder;> 50 %;NT;A2(c)+3(c)+4(c)
Limosa lapponica;(Linnaeus, 1758);lappspove;Animalia/Chordata/Aves/Charadriiformes/Scolopacidae/Limosa/lapponica;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Linaria flavirostris;(del Hoyo and Collar 2016);bergirisk;Animalia/Chordata/Aves/Passeriformes/Fringillidae/Linaria/flavirostris;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Lophodoris danielsseni;(Friele & Hansen, 1876);;Animalia/Mollusca/Gastropoda/Nudibranchia/Goniodorididae/Lophodoris/danielsseni;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Luscinia svecica;(Linnaeus, 1758);blåstrupe;Animalia/Chordata/Aves/Passeriformes/Muscicapidae/Luscinia/svecica;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Lycenchelys sarsii;(Collett, 1871);sørlig ålebrosme;Animalia/Chordata/Actinopterygii/Perciformes/Zoarcidae/Lycenchelys/sarsii;art;Fisker;Fastlands-Norge med havområder;> 50 %;LC;
Lysiella oligantha;(Turcz.) Nevski;sibirnattfiol;Plantae/Magnoliophyta/Monocots/Asparagales/Orchidaceae/Lysiella/oligantha;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iii,iv,v)
Mallotus villosus;(Müller, 1776);lodde;Animalia/Chordata/Actinopterygii/Osmeriformes/Osmeridae/Mallotus/villosus;art;Fisker;Fastlands-Norge med havområder;> 50 %;LC;
Marsupella andreaeoides;(Lindb.) Müll.Frib.;sothutremose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Gymnomitriaceae/Marsupella/andreaeoides;art;Moser;Fastlands-Norge med havområder;> 50 %;LC;
Martynovella nana;(Martynova, 1967);;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Martynovella/nana;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;DD;
Melanella turrita;Bouchet & Warén, 1986;;Animalia/Mollusca/Gastropoda/Eulimoidea/Eulimidae/Melanella/turrita;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Meligethes norvegicus;Easton, 1959;dragehodeglansbille;Animalia/Arthropoda/Insecta/Coleoptera/Nitidulidae/Meligethes/norvegicus;art;Biller;Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(iii)+2a(i)b(iii)
Metamelanea caesiella;(Th. Fr.) Henssen;;Fungi/Ascomycota/Lichinomycetes/Lichinales/Lichinaceae/Metamelanea/caesiella;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;D1
Michthyops theeli;(Ohlin, 1901);;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Michthyops/theeli;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Micranthes foliolosa;(R.Br.) Gornall;grynsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Micranthes/foliolosa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
Miriquidica altissima;(H. Magn.) Haugan & Timdal;tindelav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Lecanoraceae/Miriquidica/altissima;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;"C1; D1"
Molgula herdmani;Bjerkan, 1905;bustsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Molgulidae/Molgula/herdmani;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Molgula kiaeri;Hartmeyer, 1901;skandinaviasekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Molgulidae/Molgula/kiaeri;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Molgula siphonalis;M. Sars, 1859;sifonsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Molgulidae/Molgula/siphonalis;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Monoculodes bousfieldi;Tandberg, Vader, Olsen & Rapp, 2018;;Animalia/Arthropoda/Malacostraca/Amphipoda/Oedicerotidae/Monoculodes/bousfieldi;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;VU;D2
Monodon monoceros;Linnaeus, 1758;narhval;Animalia/Chordata/Mammalia/Cetacea/Monodontidae/Monodon/monoceros;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;VU;"A3(c); D1"
Mougeotia mysorensis;Iyengar;;Plantae/Streptophyta/Zygnematophyceae/Zygnematales/Zygnemataceae/Mougeotia/mysorensis;art;Alger;Fastlands-Norge med havområder;> 50 %;VU;D2
Mycetophila subbrevitarsata;Zaitzev, 1999;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycetophila/subbrevitarsata;art;Tovinger;Fastlands-Norge med havområder;> 50 %;LC;
Mycomya kurildisa;Vaisanen, 1984;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycomya/kurildisa;art;Tovinger;Fastlands-Norge med havområder;> 50 %;NT;B1a((i))b(iii)+2a((i))b(iii)
Mysidella typhlops;G.O. Sars, 1872;;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Mysidella/typhlops;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Mysidopsis didelphys;(Norman, 1863);;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Mysidopsis/didelphys;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Mysis oculata;(O. Fabricius, 1780);;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Mysis/oculata;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Mysis segerstralei;Audzijonyte & Väinölä, 2005;;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Mysis/segerstralei;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Nebria nivalis;(Paykull, 1790);;Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Nebria/nivalis;art;Biller;Fastlands-Norge med havområder;> 50 %;NT;"A3(c); B2b(i,ii,iii)"
Nephroma tropicum;(Müll. Arg.) Zahlbr.;;Fungi/Ascomycota/Lecanoromycetes/Peltigerales/Nephromataceae/Nephroma/tropicum;art;Laver;Fastlands-Norge med havområder;> 50 %;CR;D1
Nicomache lokii;Kongsrud & Rapp, 2012;;Animalia/Annelida/Polychaeta/Incertae sedis/Maldanidae/Nicomache/lokii;art;Leddormer;Fastlands-Norge med havområder;> 50 %;VU;D2
Nigritella nigra;(L.) Rchb.f.;svartkurle;Plantae/Magnoliophyta/Monocots/Asparagales/Orchidaceae/Nigritella/nigra;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iii,iv,v)
Ochthebius lenensis;Poppius, 1907;;Animalia/Arthropoda/Insecta/Coleoptera/Hydraenidae/Ochthebius/lenensis;art;Biller;Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(iii)
Oligaphorura ursi;(Fjellberg, 1984);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Oligaphorura/ursi;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;NT;D2
Oncophorus elongatus;(I.Hagen) Hedenäs;viersprikemose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Oncophorus/elongatus;art;Moser;Fastlands-Norge med havområder;> 50 %;LC;
Ondina coarctata;(G. O. Sars, 1878);;Animalia/Mollusca/Gastropoda/Pyramidelloidea/Pyramidellidae/Ondina/coarctata;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Orthothecium lapponicum;(Schimp.) C. Hartm.;lapphøstmose;Plantae/Bryophyta/Bryopsida/Hypnales/Plagiotheciaceae/Orthothecium/lapponicum;art;Moser;Fastlands-Norge med havområder;> 50 %;CR;C2a(i)
Oxytropis deflexa;(Pall.) DC.;;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Oxytropis/deflexa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;CR;B1a(i)c(iv)+2a(i)c(iv)
Pagophilus groenlandicus;(Erxleben, 1777);grønlandssel;Animalia/Chordata/Mammalia/Carnivora/Phocidae/Pagophilus/groenlandicus;art;Pattedyr (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Pandalus borealis;Krøyer, 1838;dypvannsreke;Animalia/Arthropoda/Malacostraca/Decapoda/Pandalidae/Pandalus/borealis;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Papaver dahlianum;Nordh.;svalbardvalmue;Plantae/Magnoliophyta/Eudicots/Ranunculales/Papaveraceae/Papaver/dahlianum;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(iii,iv,v)+2a(i)b(iii,iv,v)
Papaver lapponicum;(Tolm.) Nordh.;kolavalmue;Plantae/Magnoliophyta/Eudicots/Ranunculales/Papaveraceae/Papaver/lapponicum;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(ii,iii,iv,v)+2a(i)b(ii,iii,iv,v)
Paramytha schanderi;Kongsrud, Eilertsen, Alvestad, Kongshavn & Rapp, 2017;;Animalia/Annelida/Polychaeta/Terebellida/Ampharetidae/Paramytha/schanderi;art;Leddormer;Fastlands-Norge med havområder;> 50 %;VU;D2
Parapiesma unicolor;(Wagner, 1954);;Animalia/Arthropoda/Insecta/Hemiptera/Piesmatidae/Parapiesma/unicolor;art;Nebbmunner;Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(iii)
Parerythrops obesa;(G.O.Sars, 1864);;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Parerythrops/obesa;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Parerythrops spectabilis;G.O.Sars, 1877;;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Parerythrops/spectabilis;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Parisotoma ekmani;(Fjellberg, 1977);;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Parisotoma/ekmani;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Parophryotrocha isochaeta;(Eliason, 1962);;Animalia/Annelida/Polychaeta/Eunicida/Dorvilleidae/Parophryotrocha/isochaeta;art;Leddormer;Fastlands-Norge med havområder;> 50 %;VU;B1a(ii)b(iii)+2a(ii)b(iii)
Pavelius smileyi;Kongsrud, Eilertsen, Alvestad, Kongshavn & Rapp, 2017;;Animalia/Annelida/Polychaeta/Terebellida/Ampharetidae/Pavelius/smileyi;art;Leddormer;Fastlands-Norge med havområder;> 50 %;VU;D2
Pedicularis hirsuta;L.;lodnemyrklegg;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Pedicularis/hirsuta;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;A3(c,e)
Pelonaia corrugata;Forbes & Goodsir, 1841;rynkesekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Pelonaia/corrugata;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Peltigera retifoveata;Vitik.;huldrenever;Fungi/Ascomycota/Lecanoromycetes/Peltigerales/Peltigeraceae/Peltigera/retifoveata;art;Laver;Fastlands-Norge med havområder;> 50 %;CR;D1
Phthinia zaitzevi;Plassmann, 1990;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Phthinia/zaitzevi;art;Tovinger;Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(iii)
Pilophorus cereolus;(Ach.) Th. Fr.;grynkolve;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Cladoniaceae/Pilophorus/cereolus;art;Laver;Fastlands-Norge med havområder;> 50 %;VU;C1
Platycheirus chilosia;(Curran, 1927);høyfjellsfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/chilosia;art;Tovinger;Fastlands-Norge med havområder;> 50 %;DD;
Platycheirus lundbecki;(Collin, 1931);starrfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/lundbecki;art;Tovinger;Fastlands-Norge med havområder;> 50 %;LC;
Platypalpus norvegicus;Grootaert & Jonassen, 1991;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Platypalpus/norvegicus;art;Tovinger;Fastlands-Norge med havområder;> 50 %;LC;
Pleusymtes karstensi;(J. L. Barnard, 1959);;Animalia/Arthropoda/Malacostraca/Amphipoda/Pleustidae/Pleusymtes/karstensi;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;NT;B1b(iii)+2b(iii)
Plutella haasi;Staudinger, 1883;dovrekålmøll;Animalia/Arthropoda/Insecta/Lepidoptera/Plutellidae/Plutella/haasi;art;Sommerfugler;Fastlands-Norge med havområder;> 50 %;VU;B1a((i))b(iii,iv)+2a((i))b(iii,iv)
Poa ×jemtlandica;(Almq.) K.Richt.;jemtlandsrapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/×jemtlandica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
Poa lindebergii;Tzvelev;knutshørapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/lindebergii;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;"A3(c,d); B1a(ii)b(i,ii,iii,iv,v)+2a(ii)b(i,ii,iii,iv,v)"
Pododesmus squama;(Gmelin, 1791);;Animalia/Mollusca/Bivalvia/Pectinoida/Anomiidae/Pododesmus/squama;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Pohlia erecta;Lindb.;raknikke;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Pohlia/erecta;art;Moser;Fastlands-Norge med havområder;> 50 %;NT;"B2b(iii); C1"
Pollachius virens;(Linnaeus, 1758);sei;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Pollachius/virens;art;Fisker;Fastlands-Norge med havområder;> 50 %;LC;
Polygonum norvegicum;(Sam.) Lid comb. illeg.;norsk sandslirekne;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Polygonaceae/Polygonum/norvegicum;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Primula nutans;Georgi;;Plantae/Magnoliophyta/Eudicots/Ericales/Primulaceae/Primula/nutans;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(ii,iii,iv,v)
